item,item_ine_id,item_id,item_update,region_name,region_code,is_cronicas,media_associated,media_associated_name,is_featured,url,is_municipios_link,url_municipios
Dos Torres,14023,AND0031,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/dos-torres/?utm_campaign=cerca-v1,FALSE,
El Carpio,14018,AND0032,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/alto-guadalquivir/carpio/?utm_campaign=cerca-v1,FALSE,
El Guijo,14034,AND0033,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/guijo/?utm_campaign=cerca-v1,FALSE,
El Viso de los Pedroches,14074,AND0034,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/viso/?utm_campaign=cerca-v1,FALSE,
Encinas Reales,14024,AND0035,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/encinas-reales/?utm_campaign=cerca-v1,FALSE,
Espejo,14025,AND0036,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/espejo/?utm_campaign=cerca-v1,FALSE,
Espiel,14026,AND0037,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/espiel/?utm_campaign=cerca-v1,FALSE,
Estepona,29051,AND0038,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/estepona/?utm_campaign=cerca-v1,FALSE,
Fernán Núñez,14027,AND0039,14/07/2025,Andalucía,AND,FALSE,diariocordoba,Diario Córdoba,FALSE,https://www.diariocordoba.com/cordoba/fernan-nunez/?utm_campaign=cerca-v1,FALSE,
Fuengirola,29054,AND0040,14/07/2025,Andalucía,AND,FALSE,laopiniondemalaga,La Opinión de Málaga,TRUE,https://www.laopiniondemalaga.es/costa-sol-occidental/fuengirola/?utm_campaign=cerca-v1,FALSE,
